date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:50	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:%2284415b7368fd6fc764cbe86039ce0626%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/popper.min.js	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/popper.min.js	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:50	60174/60174	---M-Z	200	added ('OK')	application/javascript	etag:%226bea60c34c5db6797150610dacdc6bce%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/bootstrap.min.js	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:51	76113/76113	---M-Z	200	added ('OK')	application/javascript	etag:%226ea5be16ba6b95e529853693ea49795b%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/select2.full.min.js	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/select2.full.min.js	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:51	176804/176804	---M-Z	200	added ('OK')	application/javascript	etag:%22b070feb062161cd362f2e2d9b6669c49%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/chart.min.js	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/chart.min.js	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:51	21150/21150	---M-Z	200	added ('OK')	application/javascript	etag:%22935f68d33bdd88a1341647523f7813a2%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/jquery.vmap.min.js	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/jquery.vmap.min.js	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:51	60599/60599	---M-Z	200	added ('OK')	application/javascript	etag:%2216677403c0e1bef15de9ba1fec0bbc07%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/jquery.vmap.world.js	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/jquery.vmap.world.js	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:51	85415/85415	---M-Z	200	added ('OK')	application/javascript	etag:%22b02f8534289dd2e6318ff35b71fc837c%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/datatables.min.js	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/datatables.min.js	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:52	24333/24333	---M-Z	200	added ('OK')	application/javascript	etag:%22728edfa9b90e418342be3dd655dec406%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/app.js	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/app.js	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:53	1837/1837	---M-Z	200	added ('OK')	application/javascript	etag:%22407f1eaf11f5cf75429764cdbb93e286%22	https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/active.js	C:/My%20Web%20Sites/accde/live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/js/active.js	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/index.html)
21:10:53	310/310	---MC-	404	error ('Not%20Found')	application/xml	date:Wed,%2014%20Apr%202021%2015:10:54%20GMT	https://live.hasthemes.com/DataTables-1.10.21/images/sort_both.png	C:/My%20Web%20Sites/accde/live.hasthemes.com/DataTables-1.10.21/images/sort_both.png	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/datatables.min.css)
21:10:54	309/309	---MC-	404	error ('Not%20Found')	application/xml	date:Wed,%2014%20Apr%202021%2015:10:55%20GMT	https://live.hasthemes.com/DataTables-1.10.21/images/sort_asc.png	C:/My%20Web%20Sites/accde/live.hasthemes.com/DataTables-1.10.21/images/sort_asc.png	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/datatables.min.css)
21:10:55	310/310	---MC-	404	error ('Not%20Found')	application/xml	date:Wed,%2014%20Apr%202021%2015:10:56%20GMT	https://live.hasthemes.com/DataTables-1.10.21/images/sort_desc.png	C:/My%20Web%20Sites/accde/live.hasthemes.com/DataTables-1.10.21/images/sort_desc.png	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/datatables.min.css)
21:10:56	318/318	---MC-	404	error ('Not%20Found')	application/xml	date:Wed,%2014%20Apr%202021%2015:10:57%20GMT	https://live.hasthemes.com/DataTables-1.10.21/images/sort_asc_disabled.png	C:/My%20Web%20Sites/accde/live.hasthemes.com/DataTables-1.10.21/images/sort_asc_disabled.png	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/datatables.min.css)
21:10:57	319/319	---MC-	404	error ('Not%20Found')	application/xml	date:Wed,%2014%20Apr%202021%2015:10:58%20GMT	https://live.hasthemes.com/DataTables-1.10.21/images/sort_desc_disabled.png	C:/My%20Web%20Sites/accde/live.hasthemes.com/DataTables-1.10.21/images/sort_desc_disabled.png	(from https://live.hasthemes.com/html/8/jibanu-preview/jibanu/assets/css/datatables.min.css)
